"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Volume","PropHKPriceEdge.Volume","PropnetProbBEdge.Volume","KProbHKPrice.Volume","KProbnetProbB.Volume","KProbFixed.Volume","KProbFixednetProbB.Volume","KEMProb.Volume","KEMProbnetProbB.Volume","KProbHalf.Volume","KProbHalfnetProbB.Volume","KProbQuarter.Volume","KProbQuarternetProbB.Volume","KProbAdj.Volume","KProbAdjnetProbB.Volume","KHalfAdj.Volume","KHalfAdjnetProbB.Volume","KEMQuarterAdj.Volume","KEMQuarterAdjnetProbB.Volume"
"1411","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :  40.53  ","Mean   : 3.662  ","Mean   : 3.762  ","Mean   :1.193  ","Mean   : 1.24034  ","Mean   :0.38266  ","Mean   :0.39040  ","Mean   :1.193  ","Mean   : 1.24034  ","Mean   :0.04568  ","Mean   :1.964e-02  ","Mean   :0  ","Mean   :0  ","Mean   :0.38266  ","Mean   :0.39040  ","Mean   :0.086913  ","Mean   :0.0945153  ","Mean   :2.031e-02  ","Mean   :2.471e-02  "
"1412","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:  50.00  ","3rd Qu.: 4.533  ","3rd Qu.: 4.739  ","3rd Qu.:1.535  ","3rd Qu.: 1.56530  ","3rd Qu.:0.44390  ","3rd Qu.:0.40557  ","3rd Qu.:1.535  ","3rd Qu.: 1.56530  ","3rd Qu.:0.08334  ","3rd Qu.:2.849e-02  ","3rd Qu.:0  ","3rd Qu.:0  ","3rd Qu.:0.44390  ","3rd Qu.:0.40557  ","3rd Qu.:0.092343  ","3rd Qu.:0.1175405  ","3rd Qu.:2.253e-02  ","3rd Qu.:3.491e-02  "
"1413","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1600.00  ","Max.   :19.655  ","Max.   :31.001  ","Max.   :6.821  ","Max.   :10.32815  ","Max.   :1.19523  ","Max.   :1.34979  ","Max.   :6.821  ","Max.   :10.32815  ","Max.   :0.47714  ","Max.   :1.653e-01  ","Max.   :0  ","Max.   :0  ","Max.   :1.19523  ","Max.   :1.34979  ","Max.   :0.295398  ","Max.   :0.4540684  ","Max.   :7.793e-02  ","Max.   :1.589e-01  "
"1414","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1415","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :   0.50  ","Min.   : 0.000  ","Min.   : 0.1261  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   :0.01413  ","Min.   :0.002166  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   :0.00000  ","Min.   :0.00000  ","Min.   :0.0000000  ","Min.   :0.0000000  ","Min.   :0.01413  ","Min.   :0.002166  ","Min.   :0.0009908  ","Min.   :0.0000079  ","Min.   :0.0000105  ","Min.   :0.00000  "
"1416","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:  12.50  ","1st Qu.: 2.569  ","1st Qu.: 2.4336  ","1st Qu.:0.7915  ","1st Qu.:0.8095  ","1st Qu.:0.31496  ","1st Qu.:0.364863  ","1st Qu.:0.7915  ","1st Qu.:0.8095  ","1st Qu.:0.00000  ","1st Qu.:0.01976  ","1st Qu.:0.0000000  ","1st Qu.:0.0000000  ","1st Qu.:0.31496  ","1st Qu.:0.364863  ","1st Qu.:0.0794679  ","1st Qu.:0.0733732  ","1st Qu.:0.0181701  ","1st Qu.:0.01390  "
"1417","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :  26.00  ","Median : 3.406  ","Median : 3.3563  ","Median :1.1231  ","Median :1.1210  ","Median :0.38077  ","Median :0.383957  ","Median :1.1231  ","Median :1.1210  ","Median :0.02051  ","Median :0.03646  ","Median :0.0000000  ","Median :0.0000000  ","Median :0.38077  ","Median :0.383957  ","Median :0.0863762  ","Median :0.0970715  ","Median :0.0208453  ","Median :0.02373  "
"1418","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :  40.53  ","Mean   : 3.546  ","Mean   : 3.6419  ","Mean   :1.1780  ","Mean   :1.2232  ","Mean   :0.38298  ","Mean   :0.390178  ","Mean   :1.1780  ","Mean   :1.2232  ","Mean   :0.07167  ","Mean   :0.05897  ","Mean   :0.0001511  ","Mean   :0.0001632  ","Mean   :0.38298  ","Mean   :0.390178  ","Mean   :0.0868293  ","Mean   :0.0939670  ","Mean   :0.0202565  ","Mean   :0.02447  "
"1419","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:  50.00  ","3rd Qu.: 4.391  ","3rd Qu.: 4.5999  ","3rd Qu.:1.5110  ","3rd Qu.:1.5427  ","3rd Qu.:0.43943  ","3rd Qu.:0.398805  ","3rd Qu.:1.5110  ","3rd Qu.:1.5427  ","3rd Qu.:0.11603  ","3rd Qu.:0.06323  ","3rd Qu.:0.0000000  ","3rd Qu.:0.0000000  ","3rd Qu.:0.43943  ","3rd Qu.:0.398805  ","3rd Qu.:0.0908317  ","3rd Qu.:0.1151569  ","3rd Qu.:0.0219738  ","3rd Qu.:0.03418  "
"1420","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1600.00  ","Max.   :15.773  ","Max.   :24.7850  ","Max.   :6.8016  ","Max.   :7.9735  ","Max.   :5.42615  ","Max.   :5.095614  ","Max.   :6.8016  ","Max.   :7.9735  ","Max.   :2.81772  ","Max.   :2.84955  ","Max.   :0.9543141  ","Max.   :0.9584680  ","Max.   :5.42615  ","Max.   :5.095614  ","Max.   :1.4447678  ","Max.   :1.5302289  ","Max.   :0.3846843  ","Max.   :0.45953  "
