"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.High","PropHKPriceEdge.High","PropnetProbBEdge.High","KProbHKPrice.High","KProbnetProbB.High","KProbFixed.High","KProbFixednetProbB.High","X.KEMProb.High","KEMProbnetProbB.High","KProbHalf.High","KProbHalfnetProbB.High","KProbQuarter.High","KProbQuarternetProbB.High","KProbAdj.High","KProbAdjnetProbB.High","KHalfAdj.High","KHalfAdjnetProbB.High","KEMQuarterAdj.High","KEMQuarterAdjnetProbB.High"
"1833","Kelly4","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  ","Max.   :193824  "
"1834","Kelly4",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1835","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  ","Min.   : 19349  "
"1836","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  ","1st Qu.: 74999  "
"1837","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  ","Median :104696  "
"1838","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  ","Mean   :103854  "
"1839","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  ","3rd Qu.:133769  "
"1840","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  ","Max.   :179991  "
"1841","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1842","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  ","Min.   : 19352  "
