"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Open","PropHKPriceEdge.Open","PropnetProbBEdge.Open","KProbHKPrice.Open","KProbnetProbB.Open","KProbFixed.Open","KProbFixednetProbB.Open","X.KEMProb.Open","KEMProbnetProbB.Open","KProbHalf.Open","KProbHalfnetProbB.Open","KProbQuarter.Open","KProbQuarternetProbB.Open","KProbAdj.Open","KProbAdjnetProbB.Open","KHalfAdj.Open","KHalfAdjnetProbB.Open","KEMQuarterAdj.Open","KEMQuarterAdjnetProbB.Open"
"1849","Kelly3","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :14605  ","Min.   :     2.4  ","Min.   :     1  ","Min.   :14741  ","Min.   :14741  ","Min.   :14335  ","Min.   :14319  ","Min.   :19350  ","Min.   :19350  ","Min.   :18220  ","Min.   :18221  ","Min.   :19089  ","Min.   :19089  ","Min.   :14335  ","Min.   :14319  ","Min.   :18785  ","Min.   :18767  ","Min.   :19310  ","Min.   :19304  "
"1850","Kelly3","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:32423  ","1st Qu.: 74922.7  ","1st Qu.: 74917  ","1st Qu.:32534  ","1st Qu.:32535  ","1st Qu.:32645  ","1st Qu.:32721  ","1st Qu.:19875  ","1st Qu.:19875  ","1st Qu.:22415  ","1st Qu.:22420  ","1st Qu.:19866  ","1st Qu.:19881  ","1st Qu.:32645  ","1st Qu.:32721  ","1st Qu.:20958  ","1st Qu.:21027  ","1st Qu.:19573  ","1st Qu.:19595  "
"1851","Kelly3","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :39267  ","Median :104638.7  ","Median :104629  ","Median :39660  ","Median :39661  ","Median :40273  ","Median :40443  ","Median :20190  ","Median :20191  ","Median :24044  ","Median :24048  ","Median :20104  ","Median :20127  ","Median :40273  ","Median :40443  ","Median :21772  ","Median :21806  ","Median :19661  ","Median :19680  "
"1852","Kelly3","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :39249  ","Mean   :103441.8  ","Mean   :103438  ","Mean   :39308  ","Mean   :39310  ","Mean   :39711  ","Mean   :39865  ","Mean   :20191  ","Mean   :20193  ","Mean   :23940  ","Mean   :23945  ","Mean   :20072  ","Mean   :20096  ","Mean   :39711  ","Mean   :39865  ","Mean   :21719  ","Mean   :21766  ","Mean   :19657  ","Mean   :19678  "
"1853","Kelly3","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:47078  ","3rd Qu.:133710.5  ","3rd Qu.:133699  ","3rd Qu.:46433  ","3rd Qu.:46435  ","3rd Qu.:46552  ","3rd Qu.:46775  ","3rd Qu.:20568  ","3rd Qu.:20570  ","3rd Qu.:25519  ","3rd Qu.:25528  ","3rd Qu.:20303  ","3rd Qu.:20335  ","3rd Qu.:46552  ","3rd Qu.:46775  ","3rd Qu.:22489  ","3rd Qu.:22536  ","3rd Qu.:19745  ","3rd Qu.:19769  "
"1854","Kelly3","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :58092  ","Max.   :179998.8  ","Max.   :180008  ","Max.   :57541  ","Max.   :57543  ","Max.   :57897  ","Max.   :58137  ","Max.   :20900  ","Max.   :20903  ","Max.   :28126  ","Max.   :28133  ","Max.   :20741  ","Max.   :20783  ","Max.   :57897  ","Max.   :58137  ","Max.   :23798  ","Max.   :23886  ","Max.   :19901  ","Max.   :19943  "
"1855","Kelly3",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1856","Kelly4","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :14603  ","Min.   :     2.48  ","Min.   :     1  ","Min.   :14741  ","Min.   :14741  ","Min.   :14518  ","Min.   :14512  ","Min.   :19354  ","Min.   :19354  ","Min.   :18220  ","Min.   :18220  ","Min.   :19088  ","Min.   :19087  ","Min.   :14518  ","Min.   :14512  ","Min.   :18806  ","Min.   :18789  ","Min.   :19312  ","Min.   :19305  "
"1857","Kelly4","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:32422  ","1st Qu.: 74924.50  ","1st Qu.: 74919  ","1st Qu.:32535  ","1st Qu.:32534  ","1st Qu.:32470  ","1st Qu.:32444  ","1st Qu.:19876  ","1st Qu.:19876  ","1st Qu.:22417  ","1st Qu.:22420  ","1st Qu.:19869  ","1st Qu.:19883  ","1st Qu.:32470  ","1st Qu.:32444  ","1st Qu.:20945  ","1st Qu.:21007  ","1st Qu.:19570  ","1st Qu.:19593  "
"1858","Kelly4","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :39266  ","Median :104627.05  ","Median :104619  ","Median :39649  ","Median :39648  ","Median :39695  ","Median :39661  ","Median :20176  ","Median :20175  ","Median :24032  ","Median :24035  ","Median :20101  ","Median :20123  ","Median :39695  ","Median :39661  ","Median :21727  ","Median :21756  ","Median :19656  ","Median :19676  "
