"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Low","PropHKPriceEdge.Low","PropnetProbBEdge.Low","KProbHKPrice.Low","KProbnetProbB.Low","KProbFixed.Low","KProbFixednetProbB.Low","X.KEMProb.Low","KEMProbnetProbB.Low","KProbHalf.Low","KProbHalfnetProbB.Low","KProbQuarter.Low","KProbQuarternetProbB.Low","X.KProbAdj.Low","KProbAdjnetProbB.Low","X.KHalfAdj.Low","KHalfAdjnetProbB.Low","KEMQuarterAdj.Low","KEMQuarterAdjnetProbB.Low"
"1463","Kelly3",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1464","Kelly4","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  "
"1465","Kelly4","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  ","1st Qu.:21661  "
"1466","Kelly4","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  ","Median :21765  "
"1467","Kelly4","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  ","Mean   :21143  "
"1468","Kelly4","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  "
"1469","Kelly4","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  ","Max.   :22054  "
"1470","Kelly4",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1471","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  "
"1472","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  ","1st Qu.:22286  "
"1473","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  ","Median :22388  "
"1474","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  ","Mean   :21722  "
"1475","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  ","3rd Qu.:22495  "
"1476","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  ","Max.   :22660  "
"1477","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
